name,type,website,youtube,github,twitter,nostr,platforms
Fedi,tag,https://www.fedi.xyz/,,https://github.com/fedibtc/,https://x.com/fedibtc,https://primal.net/Fedi,"iphone,android"
Ginger,tag,https://gingerwallet.io/,,https://github.com/GingerPrivacy/GingerWallet,https://x.com/GingerWallet,https://primal.net/p/nprofile1qqsps8z6czk4nl5hlu3e4l989zu9mphctv2deqjdvj4qsm9ekdc8m8qgs7mph,"mac,windows,linux"
JAM,tag,https://jamapp.org/,,https://github.com/joinmarket-webui/jam,,https://primal.net/p/npub1jamj9l9vsrra9m58y6syyjvfcf85wvev7pm3vvwqkr0e8vzdyhsqvhw852,
Joltz,tag,https://www.joltz.app/wallet,,https://github.com/JoltzRewards,https://x.com/Joltz_btc,https://primal.net/p/nprofile1qqsf4tzmr6w7d5xnyeanut3tn7xncxx6ucxjgee3hk7tn6lztct5zxsvdugjr,
Liana,tag,https://wizardsardine.com/liana/,,https://github.com/wizardsardine/liana,https://x.com/lianabitcoin,https://primal.net/p/nprofile1qqsvetzrdtkpc8kz4eg54hstse8rx7cye5cvcgw9p4e7pt4s6nadw9gf6h6qe,"mac,windows,linux"
Lily,tag,https://lily-wallet.com/,,https://github.com/Lily-Technologies/lily-wallet,https://x.com/LilyWallet,,mac
Mercury,tag,https://docs.mercurylayer.com/,,https://github.com/layer2tech/mercurylayer_com,https://x.com/mercurylayer,,
Minibits,tag,https://www.minibits.cash/,,https://github.com/minibits-cash/minibits_wallet,https://x.com/MinibitsCash,https://primal.net/p/nprofile1qqstxwlea9ah3u6kjjszu6a7lrnhqkfh8eptp2z6v0e9558tlkkl2rg20d4vz,"iphone,android"
Mutiny,tag,https://app.mutinywallet.com/setup,,https://github.com/MutinyWallet,https://x.com/MutinyWallet,https://primal.net/p/nprofile1qqs0q693ptuuyxqe0xrw0376gxqdjquttkppzvwgks6whfrz929p6hqgwm0ur,
Muun,tag,http://muun.com/,,https://github.com/muun,https://x.com/MuunWallet,,"iphone,android"
Nunchuk,tag,https://nunchuk.io/,,https://github.com/nunchuk-io,https://x.com/nunchuk_io,https://primal.net/p/nprofile1qqsvxq03xdev3uxehjqcdkr5lfzl5vawmcf7vm6ps73m6ghwg8y4k2shaefxp,"mac,windows,linux,iphone,android"
Nutstash,tag,https://www.nutstash.app/,,https://github.com/gandlafbtc/nutstash-wallet,,https://primal.net/p/nprofile1qqsv58vys64aq0twjx4qgt9c26na5rdfteaksxqtygeh463v6tksg6gg2adqh,
Phoenix,tag,https://phoenix.acinq.co/,,https://phoenix.acinq.co/,https://x.com/PhoenixWallet,https://primal.net/p/nprofile1qqs2nsd66pv44e5avmytw4ejy7k7fn8fq7rczrnaexcy8v2y484xjcsvjcjja,"iphone,android"
Proton,tag,https://proton.me/wallet,,https://github.com/protonwallet/,https://x.com/ProtonWallet,https://primal.net/p/nprofile1qqsrc23txhhfq2yt9m32s7h90864j2cg62hvq4tpkrz8cvhpg5z39vglkz8w2,"iphone,android"
Spark,tag,,,https://github.com/shesek/spark-wallet,,,"mac,windows,linux,android"
Sparrow,tag,https://sparrowwallet.com/,,https://github.com/sparrowwallet/sparrow,https://x.com/SparrowWallet,https://primal.net/craigraw,"mac,windows,linux"
Specter Desktop,tag,https://specter.solutions/desktop/,,https://github.com/cryptoadvance/specter-desktop,https://x.com/SpecterWallet,https://primal.net/p/nprofile1qqsgquu9u3hf8xdl25mjvt9ymnj3zu97z7q9279wu5v3st8wxhjzr9shj3xk0,"mac,windows,linux"
Speed,tag,https://www.speed.app/,,,https://x.com/speedwallet,,"iphone,android"
Theya,tag,https://theya.us/,,https://github.com/theyabtc,https://x.com/TheyaBitcoin,https://primal.net/p/nprofile1qqs8dehgmwuqp83xgsw24rcfjl2a2yp6xpa8lu9p4yvpyxz4an0xvpcxedvft,iphone
Wasabi,tag,https://wasabiwallet.io/,,https://github.com/WalletWasabi,https://x.com/wasabiwallet,https://primal.net/p/nprofile1qqsf80gvdu7vhtj88z9srtrvuzevqyc3fh9yczxkufcj6nlhzsz68scmupga8,"mac,windows,linux"
Yeti,tag,https://yeticold.com/,,https://github.com/JWWeatherman/yeticold,https://x.com/YetiWallet,,linux
Zebedee,tag,https://zbd.gg/,,https://github.com/zbdpay,https://x.com/zbdpay,https://primal.net/p/nprofile1qqsv73e7h6tndwngn3ccmc74auufpx722ldncw8rl8087hddljyw6mcnjg4eg,"iphone,android"
Zeus,tag,https://zeusln.com/,,https://github.com/ZeusLN/zeus,https://x.com/ZeusLN,https://primal.net/zeus,"iphone,android"
eNuts,tag,https://www.enuts.cash/,,https://github.com/cashubtc/eNuts,,https://primal.net/p/npub1dx5q2el8nd4eh3eg9t2e25fd7zuqg7zxz6ldkc3uzgh66ss2yc6st288sj,
Ashigaru Dojo,tag,https://ashigaruwallet.app/,,,https://x.com/Ashigaruwallets,,
Bitcoin Core,tag,https://bitcoincore.org/,,https://github.com/bitcoin/bitcoin/,https://x.com/bitcoincoreorg,,"mac,windows,linux"
Bitcoin Knots,tag,https://bitcoinknots.org/,,https://github.com/bitcoinknots/bitcoin,https://x.com/BitcoinKnots,,"mac,windows,linux"
Bitcoin Node Box,tag,https://ministryofnodes.com.au/,,,https://x.com/ministryofnodes,,linux
Citadel,tag,https://runcitadel.space/,,https://github.com/runcitadel/citadel,,,linux
Electrum Rust Server (Electrs),tag,,,https://github.com/romanz/electrs,,,linux
Fulcrum,tag,https://fulcrumserver.org/,,https://github.com/cculianu/Fulcrum,,,"mac,windows,linux"
Fully Noded,tag,https://fullynoded.app/,,https://github.com/Fonta1n3/FullyNoded,https://x.com/FullyNoded,,"mac,iphone"
